datetime,hora,temp_ar,umidade,radiacao,vento_vel,pressao,hora_num,mes
2024-01-01 00:00:00,00:00,22.2,84.0,82.6,3.5,922.1,0,1
2024-01-01 01:00:00,01:00,21.6,84.0,82.6,3.3,922.6,1,1
2024-01-01 02:00:00,02:00,21.7,84.0,82.6,2.1,922.5,2,1
2024-01-01 03:00:00,03:00,21.4,84.0,82.6,2.5,922.0,3,1
2024-01-01 04:00:00,04:00,21.3,84.0,82.6,3.4,921.4,4,1
2024-01-01 05:00:00,05:00,21.4,84.0,82.6,1.9,921.4,5,1
2024-01-01 06:00:00,06:00,21.1,84.0,82.6,2.6,921.2,6,1
2024-01-01 07:00:00,07:00,21.1,84.0,82.6,1.8,921.3,7,1
2024-01-01 08:00:00,08:00,21.2,84.0,82.6,1.5,921.6,8,1
2024-01-01 09:00:00,09:00,21.6,84.0,82.6,2.0,922.1,9,1
2024-01-01 10:00:00,10:00,23.2,84.0,649.5,2.8,922.3,10,1
2024-01-01 11:00:00,11:00,24.2,84.0,1253.0,2.7,922.9,11,1
2024-01-01 12:00:00,12:00,26.3,84.0,1836.3,2.9,922.8,12,1
2024-01-01 13:00:00,13:00,27.3,68.0,2722.5,2.4,922.5,13,1
2024-01-01 14:00:00,14:00,26.8,68.0,1548.6,2.2,922.2,14,1
2024-01-01 15:00:00,15:00,24.5,100.0,1024.3,1.2,921.7,15,1
2024-01-01 16:00:00,16:00,27.0,69.0,3616.7,3.6,920.8,16,1
2024-01-01 17:00:00,17:00,27.4,65.0,1356.7,3.0,919.6,17,1
2024-01-01 18:00:00,18:00,27.0,64.0,1511.6,4.0,919.1,18,1
2024-01-01 19:00:00,19:00,24.6,80.0,485.5,4.2,919.4,19,1
2024-01-01 20:00:00,20:00,22.1,79.76470588235294,155.1,2.5,920.0,20,1
2024-01-01 21:00:00,21:00,21.0,79.52941176470588,145.3,5.4,920.9,21,1
2024-01-01 22:00:00,22:00,20.6,79.29411764705883,146.09166666666667,3.3,921.0,22,1
2024-01-01 23:00:00,23:00,20.5,79.05882352941177,146.88333333333335,2.8,921.7,23,1
2024-01-02 00:00:00,00:00,20.2,78.82352941176471,147.675,1.1,921.8,0,1
2024-01-02 01:00:00,01:00,20.1,78.58823529411765,148.46666666666667,0.7,922.0,1,1
2024-01-02 02:00:00,02:00,20.5,78.3529411764706,149.25833333333335,2.1,921.6,2,1
2024-01-02 03:00:00,03:00,19.8,78.11764705882354,150.05,3.3,920.9,3,1
2024-01-02 04:00:00,04:00,19.9,77.88235294117646,150.84166666666667,4.7,920.5,4,1
2024-01-02 05:00:00,05:00,20.0,77.6470588235294,151.63333333333335,2.7,920.5,5,1
2024-01-02 06:00:00,06:00,20.3,77.41176470588235,152.425,3.1,920.5,6,1
2024-01-02 07:00:00,07:00,20.2,77.17647058823529,153.21666666666667,2.7,920.9,7,1
2024-01-02 08:00:00,08:00,20.1,76.94117647058823,154.00833333333335,1.8,921.1,8,1
2024-01-02 09:00:00,09:00,20.3,76.70588235294117,154.8,2.9,921.5,9,1
2024-01-02 10:00:00,10:00,22.3,76.47058823529412,955.9,1.4,922.1,10,1
2024-01-02 11:00:00,11:00,24.1,76.23529411764706,1917.0,2.5,922.4,11,1
2024-01-02 12:00:00,12:00,25.3,76.0,2264.2,2.5,922.3,12,1
2024-01-02 13:00:00,13:00,27.3,61.0,2007.9,1.9,922.0,13,1
2024-01-02 14:00:00,14:00,27.8,62.0,3424.2,2.8,921.7,14,1
2024-01-02 15:00:00,15:00,27.2,58.0,1700.9,2.5,921.5,15,1
2024-01-02 16:00:00,16:00,30.3,47.0,3190.8,1.8,920.6,16,1
2024-01-02 17:00:00,17:00,29.0,48.0,1314.6,2.9,919.7,17,1
2024-01-02 18:00:00,18:00,29.6,44.0,1322.8,2.6,919.3,18,1
2024-01-02 19:00:00,19:00,31.2,41.0,1478.7,1.5,918.9,19,1
2024-01-02 20:00:00,20:00,28.7,51.0,278.2,2.8,919.1,20,1
2024-01-02 21:00:00,21:00,26.5,70.0,82.6,1.4,919.6,21,1
